timestamp,user_id,age,gender,account_tenure_months,amount,merchant_category,device_type,channel,location,tx_type,balance_before,is_fraud
2021-01-01 19:39:09.657533,47,19,F,99,16.681755184508187,electronics,desktop,POS,US,purchase,247.18936790005026,0
2021-01-07 01:42:53.526910,12,37,M,92,86.85347792924507,utilities,desktop,POS,Other NG,purchase,552.5685772520502,0
2021-01-09 08:51:33.965153,62,52,F,104,19.198397256968573,travel,mobile,online,Lagos,withdrawal,845.0079522224964,0
2021-01-10 23:05:34.632410,80,59,F,2,29.63117532479862,utilities,desktop,online,US,purchase,219.8059142901931,0
2021-01-11 06:11:48.290092,88,31,M,60,65.99536887382877,grocery,mobile,POS,Port Harcourt,withdrawal,223.01665868222622,0
2021-01-11 13:17:57.639101,83,23,M,29,126.67546089097515,utilities,desktop,online,Lagos,withdrawal,1586.56868293892,0
2021-01-11 15:48:19.288936,8,34,M,62,16.70117564692981,utilities,mobile,POS,Abuja,purchase,372.63946119501975,0
2021-01-15 04:02:04.455786,95,19,M,8,23.133208036043296,utilities,mobile,online,Abuja,purchase,671.2480851337635,0
2021-01-16 18:31:30.765753,21,22,M,62,20.389803620309063,electronics,desktop,online,Kano,purchase,666.1807914656083,0
2021-01-18 22:05:21.372358,81,47,F,60,8.900447473124716,electronics,mobile,POS,Lagos,purchase,121.75519055168841,0
2021-01-18 22:57:37.200148,87,69,F,58,6.336503797442989,crypto,desktop,POS,Lagos,purchase,188.5049231074666,0
2021-01-25 01:41:14.432062,80,59,F,2,0.6650926833103016,grocery,mobile,ATM,Lagos,withdrawal,587.1893636962922,0
2021-01-28 04:30:07.210271,70,29,M,21,3.994860253330347,electronics,mobile,online,Kano,transfer,51.04385235057531,0
2021-01-28 14:29:53.180987,72,66,M,13,1.3938277649997484,entertainment,mobile,online,Other NG,purchase,326.5889618986053,0
2021-01-28 22:54:08.742852,25,18,M,102,131.99944614150493,utilities,mobile,online,Abuja,purchase,169.81610692723794,0
2021-01-29 07:23:15.650012,82,31,F,48,26.64559943124473,grocery,mobile,POS,Lagos,purchase,1224.7672953777655,0
2021-01-29 22:34:46.566945,89,26,F,104,16.62805851718362,entertainment,desktop,online,Lagos,purchase,570.2731480523647,0
2021-01-31 05:44:05.566004,12,37,M,92,6.846737222245665,utilities,mobile,online,CN,transfer,1327.756954889781,0
2021-02-01 05:25:09.308950,15,47,F,71,21.003075824931514,grocery,desktop,online,Port Harcourt,purchase,387.9495736845741,0
2021-02-01 19:50:06.421407,59,21,M,52,5.629553791570371,crypto,desktop,POS,Port Harcourt,purchase,360.00243929007996,0
2021-02-03 11:28:06.941684,26,47,F,79,26.076325531389887,grocery,mobile,POS,Lagos,purchase,297.397753714872,0
2021-02-03 17:45:37.195737,26,47,F,79,29.037873897547477,travel,desktop,POS,Other NG,transfer,243.94202642527,0
2021-02-04 08:13:49.176139,47,19,F,99,5.517497723017217,grocery,tablet,POS,Kano,purchase,5911.508593866027,0
2021-02-05 03:20:20.252325,32,25,M,5,5.36183921186276,grocery,desktop,POS,Lagos,transfer,904.3075527874508,0
2021-02-06 04:50:26.879594,10,29,M,7,85.05507874660326,crypto,desktop,POS,Lagos,purchase,138.90794590494335,0
2021-02-08 21:14:55.290021,16,62,F,101,18.554457720431174,travel,tablet,POS,Abuja,transfer,5649.4239837369205,0
2021-02-09 06:34:36.277739,71,64,F,42,6.224352096825021,electronics,mobile,POS,US,purchase,269.0830491888703,0
2021-02-10 12:48:53.701754,17,40,M,86,11.521796018109654,grocery,mobile,online,GB,purchase,556.21338143025,0
2021-02-12 02:24:06.869264,23,57,M,21,4.411032856855424,entertainment,desktop,POS,Other NG,transfer,1032.3544763216078,0
2021-02-12 04:23:37.879084,26,47,F,79,18.160059126041286,entertainment,mobile,POS,Other NG,purchase,86.6646500070704,0
2021-02-13 19:33:54.266738,85,33,F,10,69.92634413984565,travel,mobile,POS,Lagos,purchase,176.38572184075838,0
2021-02-14 03:23:41.660749,86,24,F,114,19.268930856493913,travel,mobile,POS,Kano,purchase,2096.7940714353213,0
2021-02-14 06:12:42.772356,7,29,F,63,696.0699551197124,utilities,desktop,online,Other NG,transfer,322.19963459986667,0
2021-02-19 10:44:53.689145,14,33,F,14,37.78980480427457,travel,mobile,POS,Lagos,withdrawal,1095.175733688758,0
2021-02-25 07:54:30.033311,79,41,M,1,28.358637904729665,electronics,desktop,online,GB,purchase,256.3468882180102,0
2021-02-28 05:06:25.401271,7,29,F,63,5.142538368368115,travel,mobile,ATM,Lagos,purchase,366.84535913955983,0
2021-02-28 20:19:16.846906,9,33,F,99,14.044064201307052,utilities,mobile,online,Abuja,transfer,2404.8838017127828,0
2021-03-01 00:37:32.168225,48,58,M,113,6.243114868322751,travel,mobile,online,Other NG,purchase,624.8503882608093,0
2021-03-03 00:54:07.752138,72,66,M,13,0.7799949430363979,electronics,mobile,online,Other NG,withdrawal,285.75998153443726,0
2021-03-04 01:11:45.709172,59,21,M,52,86.6080990050035,travel,mobile,online,Other NG,purchase,203.69759960608977,0
2021-03-04 06:38:48.236627,87,69,F,58,9.32616757376428,crypto,desktop,POS,Lagos,withdrawal,223.2125837188892,0
2021-03-05 11:16:23.895707,93,19,M,119,6.419882969590947,travel,desktop,POS,US,transfer,1396.2704975942818,0
2021-03-05 12:44:19.757972,82,31,F,48,27.5459370971985,utilities,mobile,online,Kano,transfer,867.3983321975444,0
2021-03-09 17:16:01.836642,95,19,M,8,43.32584453078458,electronics,mobile,POS,Port Harcourt,purchase,127.90954928625936,0
2021-03-10 05:48:29.878049,94,44,M,34,12.414159926236325,grocery,desktop,POS,DE,purchase,440.17772106382404,0
2021-03-12 03:18:00.284310,39,69,F,85,20.007305834705274,utilities,desktop,online,Other NG,purchase,377.35392048427286,0
2021-03-12 18:56:38.396045,99,37,F,49,61.51500390370955,travel,mobile,online,Lagos,purchase,553.4064760439321,0
2021-03-14 01:41:17.335410,18,45,F,5,11.701413050814734,utilities,mobile,POS,Other NG,purchase,220.6171576202537,0
2021-03-15 10:49:26.956704,59,21,M,52,31.610856213252195,crypto,mobile,online,Lagos,purchase,1209.3104639466853,0
2021-03-15 19:23:01.801624,17,40,M,86,1.6671791598624406,utilities,desktop,POS,Lagos,transfer,402.88885211939646,0
2021-03-21 21:39:38.247763,14,33,F,14,3.1205881771095054,grocery,mobile,online,Port Harcourt,purchase,586.068406605326,0
2021-03-24 12:09:18.065573,31,35,M,39,49.8146773803636,utilities,mobile,POS,DE,purchase,184.06883223436697,0
2021-03-29 09:37:50.839210,24,61,M,118,2.8853956797501303,electronics,mobile,POS,Lagos,purchase,193.5792254121822,1
2021-04-02 07:56:58.713741,99,37,F,49,28.537137827578594,utilities,desktop,online,Other NG,purchase,5753.197747836468,1
